name,split,side,offset_m,speed_mps,t_cpa_s,hazard_class,siren_type,gain_db,peak,rms_W,az_med_err,az_max_err,el_med_err,snr_db_target,snr_db_measured,sir_db_target,sir_db_measured,t_on,t_off,az_med_err_noisy,snr_active_med_db,sir_inband_db,sir_fullclip_db,el_bias_med,n_frames,result
fold1_room1_mix122,train,L,7.94,6.76,3.73,horn,-,-0.71,0.1649,0.01269,0.326,1.07,0.232,3.1,3.1,6.72,6.72,4.284,8.822,0.84,8.04,18.33,5.23,-2.57,46,PASS
fold1_room1_mix123,train,L,9.14,9.27,3.96,backup_beep,-,-4.46,0.0407,0.00697,0.238,1.02,0.201,10.88,10.88,12.83,12.83,5.06,8.907,4.74,12.73,29.49,15.08,-1.59,39,PASS
fold1_room1_mix124,train,L,10.34,14.14,6.09,bike_bell,-,-1.27,0.057,0.00332,0.361,2.27,0.202,17.82,17.82,12.24,12.24,3.337,6.509,3.03,20.13,27.98,10.05,-2.7,30,PASS
fold1_room1_mix125,train,R,-5.63,7.18,6.97,siren,wail,-4.33,0.1321,0.01282,0.242,1.44,0.178,17.19,17.19,6.61,6.61,0.704,6.24,2.04,22.3,21.75,8.25,-1.85,55,PASS
fold1_room1_mix126,train,R,-4.98,14.38,3.8,horn,-,-3.31,0.0492,0.00373,0.265,0.58,0.361,13.79,13.79,14.62,14.62,5.195,7.508,0.35,20.14,25.84,12.4,-2.29,24,PASS
fold1_room1_mix127,train,R,-6.77,14.58,3.33,backup_beep,-,-3.8,0.17,0.01534,0.319,3.48,0.225,9.56,9.56,1.11,1.11,1.451,6.98,30.37,14.21,18.96,2.55,-2.06,56,PASS
fold1_room1_mix128,train,R,-14.51,11.81,4.48,bike_bell,-,-2.6,0.0624,0.00279,0.325,2.6,0.369,15.24,15.24,13.39,13.39,3.812,9.643,3.0,22.44,28.43,15.07,-1.85,59,PASS
fold1_room1_mix129,train,L,10.57,8.64,6.97,siren,peepo,-3.23,0.1433,0.01782,0.23,0.65,0.227,7.85,7.85,5.07,5.07,3.871,9.205,2.13,9.34,18.33,7.05,-3.38,53,PASS
fold1_room1_mix130,train,L,10.51,9.28,4.01,horn,-,-5.9,0.0677,0.00798,0.456,3.26,0.338,10.89,10.89,11.48,11.48,2.986,8.284,0.78,13.88,23.04,13.03,-3.73,54,PASS
fold1_room1_mix131,train,L,5.68,5.79,5.91,backup_beep,-,-3.32,0.1921,0.02491,0.277,3.06,0.228,18.74,18.74,12.41,12.41,3.6,9.056,1.35,25.43,33.64,8.8,-5.22,55,PASS
fold1_room1_mix132,train,L,14.35,14.16,4.84,bike_bell,-,-3.54,0.0617,0.00218,0.37,1.65,0.223,4.29,4.29,3.13,3.13,3.146,5.284,3.04,11.81,18.62,3.63,-3.97,21,PASS
fold1_room1_mix133,train,R,-11.05,8.73,3.55,siren,peepo,-2.53,0.1242,0.01743,0.25,0.68,0.173,13.93,13.93,5.55,5.55,2.383,6.783,2.01,17.21,19.23,7.65,-4.01,45,PASS
fold1_room1_mix134,train,R,-10.93,6.01,3.51,horn,-,-2.98,0.0959,0.01412,0.385,1.36,0.266,18.26,18.26,11.53,11.53,1.174,6.531,0.52,20.34,22.07,13.86,-4.74,54,PASS
fold1_room1_mix135,train,R,-3.76,6.86,5.02,backup_beep,-,-3.28,0.3052,0.03037,0.376,2.91,0.3,10.71,10.71,13.13,13.13,3.636,8.326,6.36,16.94,30.49,15.12,-6.16,47,PASS
fold1_room1_mix136,train,R,-13.14,13.72,5.96,bike_bell,-,-1.57,0.0617,0.00316,0.42,0.97,0.271,0.29,0.29,11.87,11.87,5.634,8.486,3.19,2.04,28.47,10.7,-2.31,29,PASS
fold1_room1_mix137,train,L,6.36,14.97,3.71,siren,wail,-0.23,0.332,0.021,0.366,1.53,0.242,1.43,1.43,10.01,10.01,3.589,5.598,0.38,6.09,23.41,5.61,-3.69,21,PASS
fold1_room1_mix138,train,L,5.42,10.5,3.51,horn,-,-1.92,0.1952,0.01629,0.407,5.22,0.302,6.71,6.71,9.54,9.54,3.221,5.808,1.3,8.88,20.49,13.52,-4.51,27,PASS
fold1_room1_mix139,train,L,14.62,14.59,4.87,backup_beep,-,-4.46,0.0534,0.00748,0.304,2.8,0.28,10.03,10.03,12.17,12.17,0.845,5.185,0.99,12.44,30.98,15.41,-2.18,42,PASS
fold1_room1_mix140,train,L,11.27,13.14,5.44,bike_bell,-,-5.78,0.0217,0.0012,0.281,0.57,0.387,1.31,1.31,0.24,0.24,6.476,8.913,9.01,3.17,15.33,5.38,-2.25,25,PASS
fold1_room1_mix141,train,R,-4.53,12.89,5.38,siren,wail,-4.3,0.1775,0.00684,0.192,0.51,0.286,1.57,1.57,2.75,2.75,6.223,8.348,1.13,7.08,17.13,-4.34,-2.33,22,PASS
fold1_room1_mix142,train,R,-3.57,10.78,4.91,horn,-,-0.79,0.3779,0.02752,0.393,8.6,0.207,7.97,7.97,4.17,4.17,2.214,8.089,2.53,13.92,15.19,5.86,-3.7,59,PASS
fold1_room1_mix143,train,R,-8.95,12.34,6.26,backup_beep,-,-3.57,0.0331,0.00381,0.277,0.52,0.324,9.92,9.92,7.44,7.44,2.567,4.746,1.67,13.22,31.2,5.93,-1.86,21,PASS
fold1_room1_mix144,train,R,-14.64,13.86,3.78,bike_bell,-,-2.24,0.0685,0.00315,0.324,1.66,0.373,16.44,16.44,2.68,2.68,2.17,8.015,19.74,21.96,18.2,4.74,-2.36,60,PASS
fold1_room1_mix145,train,L,9.91,10.21,5.7,siren,peepo,-2.97,0.138,0.01664,0.25,0.64,0.207,14.72,14.72,8.54,8.54,3.926,7.171,0.56,19.16,20.42,12.0,-4.82,32,PASS
fold1_room1_mix146,train,L,5.42,7.55,6.41,horn,-,-0.57,0.0848,0.00615,0.229,0.6,0.168,18.16,18.16,7.75,7.75,1.271,4.006,0.27,24.75,18.3,1.18,-1.94,27,PASS
fold1_room1_mix147,train,L,7.0,9.14,3.1,backup_beep,-,-3.7,0.0585,0.0059,0.249,0.51,0.385,0.22,0.22,5.43,5.43,4.648,8.828,44.93,1.54,25.3,5.86,-1.85,43,PASS
fold1_room1_mix148,train,L,3.69,7.18,4.52,bike_bell,-,-2.03,0.1804,0.00979,0.344,3.54,0.263,18.85,18.85,1.37,1.37,3.998,6.597,11.42,22.57,17.22,1.99,-5.74,26,PASS
fold1_room1_mix149,train,R,-13.46,14.51,4.36,siren,peepo,-0.56,0.4067,0.01316,0.22,0.72,0.209,4.51,4.51,0.55,0.55,4.216,7.266,3.13,6.21,14.25,-5.7,-2.48,31,PASS
fold1_room1_mix150,train,R,-3.39,7.1,3.06,horn,-,-0.76,0.4591,0.03511,0.291,5.75,0.191,0.67,0.67,5.75,5.75,0.416,5.523,4.68,6.24,16.74,6.99,-5.93,51,PASS
fold1_room1_mix151,train,R,-7.49,7.63,6.7,backup_beep,-,-1.05,0.1604,0.01361,0.289,1.24,0.29,12.49,12.49,6.93,6.93,1.439,6.318,17.6,18.23,24.57,9.15,-2.13,47,PASS
fold1_room1_mix152,train,R,-5.59,11.6,5.0,bike_bell,-,-2.55,0.031,0.00123,0.24,0.48,0.202,0.51,0.51,10.03,10.03,0.835,3.209,1.02,8.1,24.89,13.19,-1.46,23,PASS
fold1_room1_mix153,train,L,10.43,9.12,6.9,siren,wail,-0.8,0.1606,0.0173,0.256,0.67,0.38,13.34,13.34,4.38,4.38,1.757,6.86,1.98,18.11,17.78,6.78,-2.35,50,PASS
fold1_room1_mix154,train,L,5.88,5.32,3.69,horn,-,-1.43,0.2518,0.02394,0.293,2.82,0.282,18.98,18.98,7.37,7.37,3.215,9.189,0.38,23.86,18.57,8.91,-4.46,61,PASS
fold1_room1_mix155,train,L,5.7,5.55,5.4,backup_beep,-,-3.68,0.3631,0.01762,0.245,2.6,0.213,13.91,13.91,0.87,0.87,2.289,5.268,7.67,18.96,19.87,-2.07,-5.72,30,PASS
fold1_room1_mix156,train,L,10.25,10.65,6.58,bike_bell,-,-5.53,0.0527,0.0029,0.356,1.49,0.265,11.36,11.36,14.13,14.13,5.12,9.12,1.31,17.38,29.64,15.3,-4.4,40,PASS
fold1_room1_mix157,train,R,-9.23,8.08,3.55,siren,wail,-5.48,0.0727,0.01092,0.238,0.71,0.205,16.26,16.26,12.45,12.45,3.725,7.893,0.74,18.47,25.78,14.85,-2.61,42,PASS
fold1_room1_mix158,train,R,-5.61,12.31,6.5,horn,-,-1.3,0.1676,0.01854,0.324,6.05,0.207,3.23,3.23,10.98,10.98,2.682,8.005,1.24,5.66,22.47,9.3,-3.21,53,PASS
fold1_room1_mix159,train,R,-3.07,10.64,6.93,backup_beep,-,-5.63,0.2103,0.01805,0.292,5.15,0.381,2.5,2.5,2.52,2.52,2.866,7.757,52.3,8.13,26.5,2.09,-2.31,48,PASS
fold1_room1_mix160,train,R,-14.01,7.96,6.23,bike_bell,-,-3.29,0.0432,0.00292,0.304,1.08,0.196,7.58,7.58,2.84,2.84,0.541,6.335,25.28,11.88,18.97,4.6,-1.85,57,PASS
fold1_room1_mix161,train,L,14.12,10.8,6.34,siren,peepo,-3.31,0.0737,0.01104,0.28,0.62,0.147,17.83,17.83,10.09,10.09,4.859,7.316,0.49,18.27,23.95,12.95,-4.29,25,PASS
fold1_room1_mix162,train,L,12.81,6.49,4.88,horn,-,-4.44,0.0826,0.00679,0.357,1.33,0.203,2.21,2.21,3.2,3.2,5.42,9.037,1.71,7.16,14.52,6.57,-3.27,36,PASS
fold1_room1_mix163,train,L,13.1,14.52,3.01,backup_beep,-,-2.44,0.0475,0.00661,0.254,1.04,0.34,6.62,6.62,9.75,9.75,3.914,8.447,1.13,10.35,31.67,11.89,-1.39,47,PASS
fold1_room1_mix164,train,L,3.36,10.47,3.34,bike_bell,-,-1.94,0.114,0.00658,0.407,3.69,0.231,15.97,15.97,9.48,9.48,0.371,5.549,1.26,21.77,24.08,11.87,-3.09,51,PASS
fold1_room1_mix165,train,R,-5.25,7.37,4.83,siren,peepo,-1.51,0.3317,0.03505,0.211,0.63,0.248,7.09,7.09,5.09,5.09,3.249,7.653,0.89,12.5,18.8,3.48,-7.5,44,PASS
fold1_room1_mix166,train,R,-3.54,8.84,6.19,horn,-,-2.52,0.3072,0.02558,0.31,5.01,0.185,9.86,9.86,10.11,10.11,2.899,8.729,1.77,15.67,21.99,11.67,-4.49,58,PASS
fold1_room1_mix167,train,R,-10.31,6.39,3.87,backup_beep,-,-4.98,0.1283,0.01406,0.272,1.7,0.268,10.86,10.86,2.42,2.42,1.915,7.7,9.63,17.99,23.32,2.49,-5.19,58,PASS
fold1_room1_mix168,train,R,-8.21,10.26,4.35,bike_bell,-,-3.27,0.0928,0.00471,0.369,2.19,0.178,14.61,14.61,9.18,9.18,2.523,7.947,1.7,19.74,24.65,11.08,-2.68,55,PASS
fold1_room1_mix169,train,L,3.22,14.61,6.4,siren,wail,-1.88,0.4502,0.03276,0.315,2.02,0.24,3.18,3.18,14.78,14.78,3.462,8.059,1.35,9.0,28.81,14.46,-3.13,45,PASS
fold1_room1_mix170,train,L,9.29,7.93,5.74,horn,-,-3.02,0.1142,0.01085,0.224,1.42,0.378,0.57,0.57,8.74,8.74,2.058,6.079,1.46,1.74,19.96,9.27,-3.87,40,PASS
fold1_room1_mix171,train,L,13.12,12.13,6.13,backup_beep,-,-0.44,0.1027,0.01558,0.285,3.35,0.268,9.74,9.74,11.35,11.35,2.551,7.71,3.52,8.32,31.32,9.95,-1.77,51,PASS
fold1_room1_mix172,train,L,9.29,9.73,3.55,bike_bell,-,-0.93,0.0914,0.00312,0.258,0.82,0.302,17.09,17.09,12.09,12.09,4.342,8.701,0.41,24.9,28.48,9.47,-1.85,44,PASS
fold1_room1_mix173,train,R,-10.66,10.86,5.91,siren,wail,-2.84,0.1328,0.01707,0.329,0.78,0.173,12.79,12.79,4.79,4.79,3.544,8.721,0.45,17.46,17.0,7.26,-3.59,52,PASS
fold1_room1_mix174,train,R,-4.21,11.14,4.18,horn,-,-2.03,0.2821,0.02132,0.349,7.32,0.275,15.44,15.44,7.14,7.14,2.418,7.611,1.0,20.78,18.63,9.0,-3.97,52,PASS
fold1_room1_mix175,train,R,-8.82,10.01,6.81,backup_beep,-,-5.3,0.0708,0.00649,0.239,2.29,0.321,9.96,9.96,4.72,4.72,0.499,6.122,5.55,12.97,24.64,5.77,-2.18,55,PASS
fold1_room1_mix176,train,R,-4.34,5.25,3.68,bike_bell,-,-5.56,0.1324,0.00617,0.392,1.58,0.233,14.81,14.81,1.81,1.81,0.875,4.753,38.31,20.43,17.66,-4.62,-4.54,39,PASS
fold1_room1_mix177,train,L,9.42,7.93,5.17,siren,peepo,-1.45,0.2108,0.0238,0.262,0.63,0.231,2.5,2.5,7.21,7.21,1.206,6.707,0.91,6.97,19.43,9.51,-3.87,55,PASS
fold1_room1_mix178,train,L,4.61,8.63,6.7,horn,-,-2.65,0.2429,0.02123,0.46,5.85,0.234,11.76,11.76,2.57,2.57,4.91,8.656,1.77,15.11,13.59,6.5,-4.89,37,PASS
fold1_room1_mix179,train,L,4.15,11.53,6.88,backup_beep,-,-5.26,0.0271,0.00283,0.293,0.51,0.316,17.32,17.32,8.9,8.9,2.248,4.351,0.72,23.06,28.89,10.74,-1.05,20,PASS
fold1_room1_mix180,train,L,12.79,9.06,3.05,bike_bell,-,-5.26,0.0435,0.0027,0.317,1.33,0.318,19.55,19.55,14.44,14.44,0.739,6.058,0.73,24.71,30.16,13.92,-2.68,53,PASS
fold1_room1_mix181,train,R,-14.22,14.43,3.92,siren,peepo,-5.49,0.0466,0.00901,0.212,0.72,0.315,18.93,18.93,9.67,9.67,2.29,6.234,0.79,20.33,24.71,10.54,-2.38,39,PASS
fold1_room1_mix182,train,R,-6.35,7.19,5.53,horn,-,-0.35,0.3361,0.02376,0.311,3.36,0.259,1.61,1.61,4.33,4.33,4.002,9.381,1.9,5.28,13.91,-1.76,-5.3,55,PASS
fold1_room1_mix183,train,R,-13.77,11.03,4.78,backup_beep,-,-3.88,0.0762,0.00891,0.289,2.43,0.319,15.38,15.38,3.2,3.2,2.798,5.537,19.36,10.46,26.72,1.81,-2.22,27,PASS
fold1_room1_mix184,train,R,-12.48,11.63,6.46,bike_bell,-,-2.15,0.0558,0.00321,0.504,2.64,0.275,8.91,8.91,12.46,12.46,4.616,6.736,1.63,12.02,28.72,11.78,-4.05,21,PASS
fold1_room1_mix185,train,L,10.63,6.23,6.16,siren,wail,-4.24,0.1317,0.01645,0.201,0.64,0.234,17.95,17.95,5.94,5.94,4.659,9.134,0.79,22.6,20.53,1.21,-4.54,45,PASS
fold1_room1_mix186,train,L,9.77,12.76,4.8,horn,-,-3.19,0.104,0.00866,0.331,2.4,0.345,0.48,0.48,7.32,7.32,0.302,4.839,1.52,3.88,17.84,8.36,-1.83,44,PASS
fold1_room1_mix187,train,L,7.13,12.28,6.28,backup_beep,-,-2.67,0.1152,0.01744,0.387,4.51,0.312,17.15,17.15,14.23,14.23,3.418,9.344,8.9,19.43,32.82,15.94,-2.19,60,PASS
fold1_room1_mix188,train,L,9.12,6.51,5.53,bike_bell,-,-2.53,0.0686,0.00305,0.314,0.9,0.236,15.43,15.43,8.58,8.58,2.628,5.115,0.57,22.05,24.01,9.86,-3.37,24,PASS
fold1_room1_mix189,train,R,-4.62,8.48,3.06,siren,wail,-2.88,0.2816,0.02987,0.345,1.02,0.233,3.76,3.76,10.91,10.91,2.049,7.675,0.82,8.25,24.98,12.15,-2.99,57,PASS
fold1_room1_mix190,train,R,-8.36,12.58,5.97,horn,-,-1.0,0.138,0.01366,0.338,3.23,0.281,11.7,11.7,3.16,3.16,1.405,6.665,4.86,14.77,15.0,5.27,-2.26,51,PASS
fold1_room1_mix191,train,R,-13.08,8.76,4.19,backup_beep,-,-3.86,0.1164,0.01178,0.363,2.35,0.15,0.69,0.69,5.49,5.49,0.596,5.848,5.13,1.67,25.09,7.95,-2.83,52,PASS
fold1_room1_mix192,train,R,-12.98,11.88,4.77,bike_bell,-,-4.54,0.0405,0.002,0.52,1.66,0.389,2.53,2.53,4.54,4.54,4.266,6.311,2.94,7.87,20.64,6.49,-3.17,21,PASS
fold1_room1_mix193,train,L,9.03,6.11,6.11,siren,peepo,-1.51,0.1661,0.02408,0.283,0.57,0.252,19.5,19.5,13.98,13.98,1.207,6.762,0.46,25.19,28.09,15.94,-4.23,55,PASS
fold1_room1_mix194,train,L,13.12,14.78,6.01,horn,-,-1.06,0.1322,0.01018,0.342,3.5,0.31,0.32,0.32,13.78,13.78,2.339,6.876,0.82,5.66,25.3,16.26,-2.63,44,PASS
fold1_room1_mix195,train,L,4.22,6.31,6.12,backup_beep,-,-1.53,0.5124,0.03412,0.354,4.82,0.367,2.2,2.2,6.49,6.49,3.199,7.363,10.01,8.61,24.26,9.29,-6.63,41,PASS
fold1_room1_mix196,train,L,9.56,8.19,4.71,bike_bell,-,-5.95,0.0709,0.00331,0.281,1.15,0.22,17.13,17.13,9.5,9.5,2.772,7.234,0.87,24.81,23.94,11.77,-3.36,45,PASS
fold1_room1_mix197,train,R,-10.13,13.34,5.13,siren,peepo,-2.73,0.1739,0.01577,0.313,0.85,0.337,19.18,19.18,2.13,2.13,2.321,6.416,3.08,24.81,16.46,0.77,-3.86,41,PASS
fold1_room1_mix198,train,R,-13.33,5.05,4.46,horn,-,-4.95,0.1499,0.0085,0.301,1.21,0.213,5.51,5.51,4.29,4.29,3.982,9.256,0.9,10.56,14.77,-2.79,-3.13,53,PASS
fold1_room1_mix199,train,R,-5.99,10.18,5.03,backup_beep,-,-2.94,0.1655,0.01795,0.242,3.63,0.23,19.99,19.99,5.8,5.8,1.073,5.651,11.15,22.38,25.35,8.84,-2.89,45,PASS
fold1_room1_mix200,train,R,-13.14,8.55,3.29,bike_bell,-,-3.31,0.0678,0.00306,0.354,0.85,0.345,17.99,17.99,4.84,4.84,2.486,5.522,4.59,25.5,19.8,8.39,-4.1,31,PASS
fold1_room1_mix201,train,L,10.81,9.54,4.96,siren,wail,-1.82,0.0823,0.02021,0.25,0.71,0.304,14.58,14.58,14.31,14.31,1.486,7.446,0.33,15.6,25.8,15.44,-2.59,59,PASS
fold1_room1_mix202,train,L,10.43,13.14,6.25,horn,-,-2.7,0.0872,0.01062,0.308,4.22,0.305,13.0,13.0,8.8,8.8,3.175,7.593,0.84,15.05,19.95,9.52,-3.53,44,PASS
fold1_room1_mix203,train,L,3.08,14.72,4.5,backup_beep,-,-3.07,0.1937,0.02053,0.327,6.6,0.207,19.31,19.31,13.58,13.58,0.974,6.791,1.99,25.25,36.04,11.71,-1.95,58,PASS
fold1_room1_mix204,train,L,10.05,7.57,4.88,bike_bell,-,-1.19,0.0931,0.00455,0.297,1.06,0.204,15.79,15.79,8.78,8.78,1.765,4.995,6.15,20.16,25.87,1.98,-3.74,32,PASS
fold1_room1_mix205,train,R,-3.7,8.3,4.22,siren,wail,-2.66,0.2988,0.0192,0.266,0.7,0.245,10.37,10.37,3.24,3.24,4.592,8.976,3.33,14.1,15.49,-3.01,-2.09,45,PASS
fold1_room1_mix206,train,R,-13.7,13.2,4.52,horn,-,-5.84,0.0567,0.00459,0.305,3.0,0.361,11.96,11.96,9.01,9.01,0.816,4.55,0.48,17.25,19.81,9.53,-2.26,36,PASS
fold1_room1_mix207,train,R,-14.44,6.36,5.08,backup_beep,-,-4.7,0.0712,0.00803,0.298,1.29,0.103,14.57,14.57,10.77,10.77,2.692,5.336,16.48,9.41,28.69,4.96,-2.68,26,PASS
fold1_room1_mix208,train,R,-7.69,9.82,5.69,bike_bell,-,-3.81,0.0656,0.00286,0.277,1.15,0.36,18.08,18.08,0.07,0.07,0.569,5.358,82.89,24.55,16.26,-7.22,-2.3,47,PASS
fold1_room1_mix209,train,L,10.69,13.28,3.23,siren,peepo,-0.21,0.2155,0.01845,0.251,0.68,0.348,15.63,15.63,1.86,1.86,2.618,5.414,4.57,19.86,17.03,3.87,-4.47,28,PASS
fold1_room1_mix210,train,L,8.79,10.95,3.19,horn,-,-3.1,0.0418,0.00321,0.266,0.51,0.287,11.85,11.85,6.68,6.68,5.513,7.957,0.61,19.08,17.0,10.07,-1.19,25,PASS
fold1_room1_mix211,train,L,5.17,5.97,6.59,backup_beep,-,-2.4,0.507,0.02808,0.241,1.96,0.231,11.02,11.02,0.28,0.28,5.009,7.763,2.77,16.34,24.7,-2.41,-6.99,28,PASS
fold1_room1_mix212,train,L,7.8,9.84,3.72,bike_bell,-,-0.83,0.0954,0.0047,0.332,2.23,0.247,9.04,9.04,5.77,5.77,3.413,7.909,39.66,14.31,21.45,6.99,-2.26,46,PASS
fold1_room1_mix213,train,R,-6.41,6.51,6.06,siren,peepo,-1.02,0.3223,0.02898,0.269,0.75,0.222,13.57,13.57,6.5,6.5,1.431,6.369,1.56,19.81,20.54,3.65,-3.36,49,PASS
fold1_room1_mix214,train,R,-3.61,12.57,6.15,horn,-,-4.36,0.2444,0.01681,0.336,6.49,0.208,12.18,12.18,7.73,7.73,3.768,7.324,3.82,17.74,19.32,9.27,-5.35,35,PASS
fold1_room1_mix215,train,R,-3.63,12.39,5.55,backup_beep,-,-2.75,0.321,0.02308,0.299,2.78,0.353,6.63,6.63,4.25,4.25,1.875,7.807,6.82,11.65,24.9,5.32,-3.19,59,PASS
fold1_room1_mix216,train,R,-10.96,12.56,5.19,bike_bell,-,-6.0,0.0538,0.00221,0.383,1.45,0.353,0.84,0.84,0.69,0.69,0.506,6.206,19.87,7.94,15.77,3.0,-2.17,56,PASS
fold1_room1_mix217,train,L,7.49,8.98,6.71,siren,wail,-3.68,0.1872,0.02074,0.232,0.81,0.215,15.43,15.43,2.38,2.38,3.144,8.71,1.61,19.94,15.65,3.65,-4.17,56,PASS
fold1_room1_mix218,train,L,4.93,10.13,4.97,horn,-,-1.23,0.2561,0.02221,0.342,5.55,0.241,11.83,11.83,9.79,9.79,2.787,7.743,1.03,16.87,21.09,9.52,-4.69,49,PASS
fold1_room1_mix219,train,L,3.24,11.91,5.5,backup_beep,-,-4.27,0.2487,0.01257,0.322,1.25,0.315,8.5,8.5,0.87,0.87,0.695,5.229,3.15,12.96,21.92,-2.45,-2.15,43,PASS
fold1_room1_mix220,train,L,6.96,13.65,3.32,bike_bell,-,-5.73,0.042,0.00295,0.314,2.67,0.278,11.55,11.55,8.11,8.11,2.177,7.724,4.68,16.53,24.67,8.29,-2.21,57,PASS
fold1_room1_mix221,train,R,-11.69,8.36,6.5,siren,wail,-2.09,0.0794,0.00877,0.237,0.54,0.155,3.86,3.86,13.85,13.85,1.051,4.937,0.65,6.99,28.53,17.2,-1.55,38,PASS
fold1_room1_mix222,train,R,-14.4,10.41,3.52,horn,-,-4.36,0.088,0.00749,0.382,2.05,0.255,12.03,12.03,3.61,3.61,0.356,4.644,0.89,17.98,14.94,5.07,-2.71,42,PASS
fold1_room1_mix223,train,R,-6.93,7.86,6.39,backup_beep,-,-4.12,0.1333,0.01565,0.248,2.37,0.249,9.27,9.27,13.53,13.53,1.187,6.487,1.8,14.46,33.2,15.27,-2.42,52,PASS
fold1_room1_mix224,train,R,-14.07,7.44,3.5,bike_bell,-,-0.14,0.0496,0.00385,0.378,1.33,0.373,19.18,19.18,8.59,8.59,2.066,4.676,14.97,18.29,24.84,10.79,-2.55,26,PASS
fold1_room1_mix225,train,L,6.14,10.87,6.32,siren,peepo,-4.58,0.1985,0.0175,0.256,1.0,0.222,11.55,11.55,4.31,4.31,3.955,6.961,1.42,16.75,17.92,6.85,-5.44,30,PASS
fold1_room1_mix226,train,L,7.9,14.65,3.42,horn,-,-2.98,0.1098,0.01181,0.424,6.22,0.181,13.81,13.81,13.32,13.32,0.405,5.702,0.69,17.07,24.27,15.41,-2.61,53,PASS
fold1_room1_mix227,train,L,3.99,13.71,4.16,backup_beep,-,-5.26,0.1968,0.01531,0.323,4.1,0.344,13.27,13.27,10.89,10.89,4.089,9.528,14.19,17.12,32.25,12.61,-1.21,56,PASS
fold1_room1_mix228,train,L,7.23,7.31,6.25,bike_bell,-,-5.86,0.1193,0.00369,0.303,1.39,0.164,12.12,12.12,1.51,1.51,5.854,8.813,12.78,18.93,17.68,-6.62,-3.99,30,PASS
fold1_room1_mix229,train,R,-6.91,7.2,6.2,siren,peepo,-3.53,0.0827,0.00521,0.236,0.46,0.131,2.53,2.53,3.04,3.04,0.454,2.919,1.13,5.91,16.22,-3.0,-1.59,24,PASS
fold1_room1_mix230,train,R,-3.09,7.73,5.71,horn,-,-2.28,0.3227,0.0288,0.366,6.55,0.224,7.61,7.61,12.95,12.95,3.025,8.057,1.21,12.58,24.54,15.3,-5.58,50,PASS
fold1_room1_mix231,train,R,-9.59,11.4,5.54,backup_beep,-,-3.74,0.1827,0.00858,0.25,2.01,0.258,1.35,1.35,6.74,6.74,2.921,5.239,4.37,5.86,24.46,9.11,-2.26,23,PASS
fold1_room1_mix232,train,R,-11.53,6.42,5.36,bike_bell,-,-4.48,0.0579,0.00319,0.299,0.99,0.254,2.26,2.26,10.91,10.91,3.85,7.639,1.94,5.18,26.63,13.87,-4.82,38,PASS
fold1_room1_mix233,train,L,12.43,7.41,5.16,siren,wail,-3.03,0.0734,0.01369,0.227,0.64,0.207,10.18,10.18,14.16,14.16,0.359,5.3,0.33,11.49,27.94,15.8,-2.24,48,PASS
fold1_room1_mix234,train,L,11.83,13.54,5.65,horn,-,-2.95,0.0904,0.00587,0.336,1.36,0.368,2.86,2.86,3.21,3.21,2.081,5.348,2.15,8.24,14.66,6.27,-2.24,32,PASS
fold1_room1_mix235,train,L,8.73,13.21,4.86,backup_beep,-,-1.66,0.1432,0.01263,0.469,3.53,0.163,15.35,15.35,5.76,5.76,4.5,6.546,20.02,19.06,24.69,8.89,-3.86,21,PASS
fold1_room1_mix236,train,L,13.94,10.95,4.11,bike_bell,-,-1.2,0.0409,0.00157,0.244,0.66,0.404,18.51,18.51,5.82,5.82,5.887,9.037,6.65,25.3,22.6,1.45,-1.78,32,PASS
fold1_room1_mix237,train,R,-4.32,6.09,4.22,siren,wail,-4.54,0.2698,0.02806,0.292,0.66,0.227,16.1,16.1,10.84,10.84,0.335,4.985,0.43,21.48,24.99,11.67,-4.61,46,PASS
fold1_room1_mix238,train,R,-14.44,14.99,6.07,horn,-,-4.63,0.0807,0.00474,0.311,2.48,0.343,13.53,13.53,0.48,0.48,0.584,5.981,0.45,19.93,11.71,0.67,-1.5,52,PASS
fold1_room1_mix239,train,R,-11.56,5.39,4.04,backup_beep,-,-5.26,0.1401,0.01152,0.434,1.24,0.227,2.78,2.78,2.07,2.07,2.606,6.382,10.36,10.29,24.0,2.43,-5.52,38,PASS
fold1_room1_mix240,train,R,-13.6,11.52,4.81,bike_bell,-,-0.63,0.0526,0.00418,0.308,1.22,0.256,13.74,13.74,8.86,8.86,1.708,6.942,1.79,15.12,23.95,10.4,-2.03,52,PASS
fold2_room1_mix001,val,L,6.94,10.09,4.93,siren,peepo,-0.15,0.2228,0.01704,0.26,0.48,0.288,8.63,8.63,4.73,4.73,1.125,4.483,3.05,13.23,19.02,7.82,-2.7,33,PASS
fold2_room1_mix002,val,L,7.21,7.59,6.0,horn,-,-0.15,0.1733,0.01336,0.369,1.73,0.21,4.12,4.12,11.07,11.07,1.632,5.437,1.06,8.65,20.64,8.87,-2.61,38,PASS
fold2_room1_mix003,val,L,3.19,5.19,4.66,backup_beep,-,-4.98,0.3186,0.03145,0.341,4.28,0.209,19.67,19.67,9.66,9.66,3.112,9.077,8.65,25.55,32.89,10.33,-6.04,60,PASS
fold2_room1_mix004,val,L,8.1,6.22,3.14,bike_bell,-,-3.44,0.0858,0.0043,0.501,1.36,0.289,11.77,11.77,7.32,7.32,2.014,4.36,6.66,18.05,23.1,11.47,-6.57,24,PASS
