clip,cls,tier,typ,j,t_to_cpa,route,rc,cpa_ok,ins,d_pred,d_gt,dc,tc,adot,gt_adot,ddot,gt_cpa_d
fold31_room1_mix0496,4,safe,すり抜け型,70,0.6,rc,1,0,0,8.56,15.13,4.61,5.2,-0.087,0.5235987755982985,-1.17,14.28
fold31_room1_mix0500,4,critical,対向型,34,3.7,rc,1,0,0,13.77,14.73,0.0,4.16,0.0,0.0,-3.31,1.05
fold31_room1_mix0504,4,critical,対向型,58,2.5,cpa,1,1,0,14.39,10.08,0.0,2.29,-0.0,0.0,-6.28,0.7
fold31_room1_mix0506,4,safe,すり抜け型,46,0.7,cpa,0,1,1,1.25,11.79,0.16,0.1,1.361,0.5235987755982996,-12.9,10.3
fold31_room1_mix0508,4,critical,対向型,63,2.2,cpa,1,1,0,13.3,12.22,0.0,2.03,-0.0,0.0,-6.54,1.25
fold31_room1_mix0510,4,critical,対向型,73,0.7,cpa,1,1,0,4.64,4.39,0.22,0.89,0.052,0.34906585039886584,-5.2,0.96
fold31_room1_mix0510,4,safe,すり抜け型,73,1.1,cpa,1,1,0,4.64,12.82,0.22,0.89,0.052,0.43633231299858244,-5.2,8.62
fold31_room1_mix0511,4,critical,対向型,26,3.4,rc,1,0,0,14.3,10.96,2.91,5.71,-0.035,0.0,-2.4,1.08
fold31_room1_mix0516,4,safe,すり抜け型,74,0.6,cpa,0,1,1,1.3,14.77,0.02,0.04,-0.349,0.5235987755982985,-33.53,13.92
fold31_room1_mix0516,4,critical,対向型,74,-0.1,cpa,0,1,1,1.3,1.24,0.02,0.04,-0.349,5.585053606381854,-33.53,0.99
fold31_room1_mix0517,4,critical,対向型,38,4.1,rc,1,0,0,14.15,12.31,5.67,5.26,-0.07,0.0,-2.26,0.72
fold31_room1_mix0518,4,critical,対向型,33,2.7,cpa,0,1,0,16.41,16.78,1.08,1.88,0.035,0.0,-8.68,0.66
fold31_room1_mix0521,4,critical,対向型,32,2.6,rc,1,0,0,9.96,9.61,0.47,2.7,0.017,0.0,-3.68,0.94
fold31_room1_mix0521,4,safe,すり抜け型,47,2.5,cpa,0,1,0,4.58,,0.99,1.01,-0.209,,-4.33,10.16
fold31_room1_mix0525,4,critical,対向型,20,2.3,rc,1,0,0,11.54,12.96,0.0,3.48,0.0,0.0,-3.32,0.85
fold31_room1_mix0525,4,critical,対向型,20,4.4,rc,1,0,0,11.54,,0.0,3.48,0.0,,-3.32,0.76
fold31_room1_mix0536,4,safe,すり抜け型,48,1.4,cpa,0,1,0,5.64,13.22,0.51,0.57,0.157,0.34906585039886584,-9.76,6.61
fold31_room1_mix0536,4,critical,対向型,48,0.5,cpa,0,1,0,5.64,3.54,0.51,0.57,0.157,0.43633231299858244,-9.76,0.92
fold31_room1_mix0537,4,critical,対向型,85,0.3,cpa,0,1,0,3.7,2.5,0.97,0.34,0.75,1.483529864195181,-10.27,1.15
fold31_room1_mix0540,4,critical,対向型,49,1.1,cpa,0,1,0,7.34,6.39,0.52,0.68,-0.105,0.08726646259971646,-10.75,0.81
fold31_room1_mix0541,4,safe,すり抜け型,16,2.6,rc,1,0,0,12.98,,2.22,1.93,-0.087,,-6.53,3.69
fold31_room1_mix0542,4,critical,対向型,17,4.8,rc,1,0,0,13.19,19.04,1.31,2.82,-0.035,0.0,-4.63,1.12
fold31_room1_mix0544,4,critical,対向型,65,2.3,cpa,0,1,0,3.03,19.05,0.52,0.24,-0.698,0.0,-12.24,1.33
fold31_room1_mix0547,4,critical,対向型,31,3.7,cpa,1,1,0,14.68,25.48,0.74,1.44,-0.035,0.0,-10.16,0.87
fold31_room1_mix0547,4,critical,対向型,31,1.6,cpa,1,1,0,14.68,14.94,0.74,1.44,-0.035,0.0,-10.16,0.96
fold31_room1_mix0550,4,critical,対向型,58,0.9,cpa,1,1,0,11.12,8.7,0.72,0.92,0.07,0.08726646259971549,-11.98,0.98
fold31_room1_mix0551,4,critical,対向型,83,0.0,cpa,0,1,0,1.88,1.21,0.58,0.14,2.042,5.14872129338327,-11.75,1.21
fold31_room1_mix0552,4,safe,すり抜け型,60,1.6,cpa,0,1,0,4.13,18.26,1.26,0.13,-2.234,0.26179938779914924,-28.71,14.76
fold31_room1_mix0552,4,critical,対向型,60,-0.4,cpa,0,1,0,4.13,3.01,1.26,0.13,-2.234,0.43633231299858244,-28.71,0.63
fold31_room1_mix0554,4,safe,すり抜け型,30,3.7,rc,1,0,0,14.28,21.05,4.57,4.34,-0.07,0.1745329251994332,-2.95,10.3
fold31_room1_mix0554,4,critical,対向型,30,4.7,rc,1,0,0,14.28,15.11,4.57,4.34,-0.07,0.0,-2.95,1.18
fold31_room1_mix0555,4,critical,対向型,36,2.9,rc,1,0,0,6.86,6.8,1.05,2.9,0.052,0.0,-2.31,0.75
fold31_room1_mix0556,4,critical,対向型,31,1.4,cpa,1,1,0,10.99,11.48,0.19,1.0,0.017,0.0,-11.0,0.63
fold31_room1_mix0564,4,critical,対向型,50,1.0,cpa,0,1,0,7.58,6.83,0.85,1.06,-0.105,0.1745329251994332,-7.03,1.32
fold31_room1_mix0565,4,critical,対向型,40,2.6,rc,1,0,0,13.33,15.01,1.49,2.12,0.052,0.0,-6.22,0.85
fold31_room1_mix0567,4,critical,対向型,42,2.0,rc,1,0,0,11.94,10.2,0.0,2.95,-0.0,0.0,-4.05,1.04
fold31_room1_mix0568,4,critical,対向型,22,2.1,cpa,1,1,0,13.28,11.22,0.0,2.28,-0.0,0.0,-5.82,1.04
fold31_room1_mix0568,4,critical,対向型,34,4.4,cpa,0,1,0,6.93,,1.28,1.49,-0.122,,-4.49,1.02
fold31_room1_mix0569,4,critical,対向型,62,1.3,cpa,1,1,0,11.84,10.73,1.0,1.2,0.07,0.0,-9.8,1.0
fold31_room1_mix0571,4,critical,対向型,59,0.5,cpa,0,1,0,3.26,3.37,0.31,0.38,-0.244,0.6981317007977306,-8.4,1.17
fold31_room1_mix0571,4,safe,すり抜け型,59,3.0,cpa,0,1,0,3.26,20.7,0.31,0.38,-0.244,0.1745329251994332,-8.4,9.39
fold31_room1_mix0572,4,critical,対向型,46,2.1,cpa,1,1,0,8.61,6.48,0.0,1.6,-0.0,0.08726646259971549,-5.37,0.8
fold31_room1_mix0572,4,critical,対向型,46,0.8,cpa,1,1,0,8.61,7.42,0.0,1.6,-0.0,0.08726646259971549,-5.37,0.7
fold31_room1_mix0574,4,critical,対向型,56,1.4,rc,1,0,0,12.44,13.53,1.62,1.48,-0.087,0.0,-8.25,1.32
fold31_room1_mix0578,4,critical,対向型,61,0.1,cpa,0,1,1,1.37,1.17,0.24,0.09,2.007,5.061454830783553,-15.36,1.06
fold31_room1_mix0582,4,critical,対向型,81,0.4,cpa,0,1,0,2.24,1.91,0.67,0.4,-0.716,1.308996938995747,-5.14,1.05
fold31_room1_mix0585,4,critical,対向型,61,0.6,cpa,1,1,0,5.12,4.66,0.09,1.04,0.017,0.34906585039886595,-4.93,1.08
fold31_room1_mix0587,4,critical,対向型,30,1.9,cpa,1,1,0,12.72,11.08,0.0,1.72,-0.0,0.08726646259971646,-7.38,1.44
fold31_room1_mix0587,4,critical,対向型,30,4.9,cpa,1,1,0,12.72,,0.0,1.72,-0.0,,-7.38,0.93
fold31_room1_mix0591,4,critical,対向型,35,0.9,cpa,1,1,0,11.65,5.13,0.83,1.35,-0.052,0.17453292519943098,-8.56,0.75
fold31_room1_mix0591,4,critical,対向型,35,5.0,cpa,1,1,0,11.65,16.79,0.83,1.35,-0.052,0.0,-8.56,0.74
fold31_room1_mix0595,4,safe,すり抜け型,64,-0.1,cpa,0,1,0,4.73,14.93,0.87,0.87,-0.209,0.5235987755982996,-5.27,14.9
fold31_room1_mix0595,4,critical,対向型,64,0.5,cpa,0,1,0,4.73,4.23,0.87,0.87,-0.209,0.6108652381980153,-5.27,1.33
fold31_room1_mix0595,4,safe,すり抜け型,64,0.7,cpa,0,1,0,4.73,5.72,0.87,0.87,-0.209,0.7853981633974483,-5.27,3.8
fold31_room1_mix0598,4,safe,すり抜け型,41,0.8,rc,1,0,0,13.44,11.06,1.68,3.55,-0.035,0.4363323129985819,-3.73,10.26
fold31_room1_mix0598,4,safe,すり抜け型,41,2.8,rc,1,0,0,13.44,26.52,1.68,3.55,-0.035,0.17453292519943098,-3.73,11.72
fold31_room1_mix0605,4,safe,すり抜け型,44,0.6,cpa,0,1,0,2.5,9.16,1.07,0.14,-2.74,0.3490658503988664,-14.52,8.93
fold31_room1_mix0605,4,critical,対向型,44,-0.2,cpa,0,1,0,2.5,2.61,1.07,0.14,-2.74,2.0071286397934793,-14.52,1.43
fold31_room1_mix0610,4,critical,対向型,66,2.1,cpa,0,1,0,15.53,17.4,0.39,1.45,-0.017,0.0,-10.68,1.15
fold31_room1_mix0613,4,critical,対向型,57,0.9,cpa,0,1,0,8.19,5.87,0.76,0.76,-0.122,0.08726646259971549,-10.72,0.75
fold31_room1_mix0614,4,critical,対向型,14,2.9,rc,1,0,0,12.91,17.95,2.55,2.22,0.087,0.0,-5.58,0.95
fold31_room1_mix0617,4,critical,対向型,59,1.3,cpa,1,1,0,12.03,10.78,0.28,1.33,-0.017,0.08726646259971646,-9.03,1.41
fold31_room1_mix0624,4,critical,対向型,67,1.9,rc,1,0,0,12.84,11.54,1.64,2.42,-0.052,0.08726646259971549,-5.23,1.31
fold31_room1_mix0625,4,critical,対向型,52,2.7,cpa,1,1,0,7.27,11.19,1.25,1.94,0.087,0.0,-3.64,0.71
fold31_room1_mix0627,4,critical,対向型,45,-0.4,cpa,0,1,0,4.44,1.79,0.28,0.12,-0.506,1.0471975511965974,-35.47,1.0
fold31_room1_mix0628,4,safe,すり抜け型,50,-0.8,cpa,1,1,0,14.37,8.99,0.75,1.49,-0.035,0.6108652381980151,-9.64,4.7
fold31_room1_mix0628,4,critical,対向型,50,2.9,cpa,1,1,0,14.37,11.66,0.75,1.49,-0.035,0.0,-9.64,1.42
fold31_room1_mix0629,4,critical,対向型,77,1.0,cpa,0,1,0,8.74,7.76,0.88,0.95,-0.105,0.0,-9.07,0.79
fold31_room1_mix0630,4,critical,対向型,46,-0.2,cpa,0,1,1,1.38,1.33,0.15,0.05,2.443,3.141592653589793,-30.02,0.79
fold31_room1_mix0630,4,critical,対向型,46,0.6,cpa,0,1,1,1.38,4.36,0.15,0.05,2.443,0.4363323129985841,-30.02,1.44
fold31_room1_mix0635,4,critical,対向型,35,0.9,cpa,1,1,0,12.05,7.77,0.28,1.33,-0.017,0.1745329251994332,-9.05,1.24
fold31_room1_mix0635,4,safe,すり抜け型,35,3.3,cpa,1,1,0,12.05,28.23,0.28,1.33,-0.017,0.08726646259971632,-9.05,6.96
fold31_room1_mix0636,4,critical,対向型,55,2.4,cpa,1,1,0,7.79,8.39,0.85,1.55,-0.07,0.08726646259971646,-4.98,1.31
fold31_room1_mix0636,4,safe,すり抜け型,55,1.4,cpa,1,1,0,7.79,17.93,0.85,1.55,-0.07,0.3490658503988664,-4.98,11.42
fold31_room1_mix0637,4,critical,対向型,75,1.4,cpa,0,1,0,7.56,7.11,1.14,1.42,0.105,0.08726646259971549,-5.19,0.74
fold31_room1_mix0640,4,critical,対向型,53,2.3,cpa,1,1,0,13.79,12.2,0.0,1.91,0.0,0.0,-7.21,0.76
fold31_room1_mix0643,4,critical,対向型,50,-0.2,cpa,0,1,0,3.15,1.22,0.33,0.28,-0.367,2.879793265790643,-11.05,1.14
fold31_room1_mix0643,4,critical,対向型,50,0.5,cpa,0,1,0,3.15,3.57,0.33,0.28,-0.367,0.6108652381980152,-11.05,1.14
fold31_room1_mix0645,4,critical,対向型,66,-0.1,cpa,0,1,1,0.73,1.13,0.25,0.08,-4.171,5.148721293383273,-8.5,0.93
fold31_room1_mix0651,4,critical,対向型,65,0.4,cpa,0,1,0,4.31,3.24,0.34,0.45,0.175,0.6108652381980155,-9.46,0.84
fold31_room1_mix0652,4,critical,対向型,33,3.9,rc,1,0,0,13.55,13.52,0.83,3.5,0.017,0.0,-3.86,1.15
fold31_room1_mix0653,4,critical,対向型,74,0.3,cpa,0,1,0,2.41,2.55,0.35,0.27,0.541,1.658062789394613,-8.86,1.3
fold31_room1_mix0654,4,critical,対向型,70,1.6,cpa,1,1,0,14.97,14.82,0.0,1.36,-0.0,0.0,-10.98,0.85
fold31_room1_mix0659,4,critical,対向型,56,1.2,cpa,1,1,0,12.73,12.12,1.05,1.57,0.052,0.08726646259971646,-8.06,1.41
fold31_room1_mix0670,4,critical,対向型,58,1.2,cpa,0,1,0,5.41,6.55,0.88,0.57,0.279,0.08726646259971646,-9.17,0.96
fold31_room1_mix0672,4,critical,対向型,62,0.9,rc,1,0,0,9.91,6.33,1.95,2.77,-0.07,0.17453292519943542,-3.44,1.21
fold31_room1_mix0673,4,safe,すり抜け型,58,1.5,cpa,1,1,0,7.7,13.18,0.1,0.73,0.017,0.3490658503988664,-10.55,10.79
fold31_room1_mix0674,4,critical,対向型,33,0.8,cpa,0,1,0,5.32,4.37,0.35,0.34,-0.192,0.34906585039886584,-15.62,0.98
fold31_room1_mix0674,4,safe,すり抜け型,33,2.1,cpa,0,1,0,5.32,18.17,0.35,0.34,-0.192,0.1745329251994332,-15.62,11.34
fold31_room1_mix0674,4,critical,対向型,33,2.8,cpa,0,1,0,5.32,26.31,0.35,0.34,-0.192,0.0,-15.62,1.12
fold31_room1_mix0676,4,critical,対向型,52,2.7,cpa,0,1,0,16.59,18.67,0.0,2.21,0.0,0.0,-7.52,0.78
fold31_room1_mix0678,4,critical,対向型,67,0.5,cpa,1,1,0,5.45,4.99,0.11,0.59,-0.035,0.4363323129985819,-9.23,1.3
fold31_room1_mix0686,4,safe,すり抜け型,26,3.8,cpa,0,1,0,21.37,27.04,0.9,1.21,-0.035,0.0,-17.66,8.16
fold31_room1_mix0690,4,critical,対向型,33,1.9,rc,1,0,0,13.12,18.66,1.6,6.95,0.017,0.0,-1.86,1.3
fold31_room1_mix0692,4,critical,対向型,52,1.8,rc,1,0,0,13.08,11.91,2.2,2.38,0.07,0.0,-5.34,1.0
fold31_room1_mix0693,4,critical,対向型,40,1.5,cpa,1,1,0,11.89,12.94,0.39,0.93,-0.035,0.08726646259971646,-12.72,0.97
fold31_room1_mix0694,4,critical,対向型,43,3.7,rc,1,0,0,13.95,12.97,0.0,5.47,-0.0,0.0,-2.55,0.77
fold31_room1_mix0697,4,critical,対向型,39,3.6,cpa,0,1,0,16.08,16.08,0.0,2.17,-0.0,0.0,-7.4,1.37
fold31_room1_mix0699,4,critical,対向型,73,1.4,cpa,1,1,0,11.54,12.31,0.57,1.41,0.035,0.08726646259971646,-8.15,1.26
fold31_room1_mix0700,4,critical,対向型,58,3.0,rc,1,0,0,14.36,14.73,2.17,8.56,-0.017,0.0,-1.64,0.67
fold31_room1_mix0701,4,critical,対向型,51,1.7,cpa,0,1,0,18.65,14.55,0.63,1.93,-0.017,0.0,-9.67,0.78
fold31_room1_mix0702,4,safe,すり抜け型,51,2.7,cpa,0,1,0,2.57,25.34,0.79,0.3,-0.977,0.1745329251994332,-7.79,12.31
fold31_room1_mix0708,4,critical,対向型,36,3.8,rc,1,0,0,14.36,10.79,0.0,6.38,0.0,0.0,-2.25,1.11
fold31_room1_mix0721,4,critical,対向型,27,4.5,rc,1,0,0,13.99,11.52,1.48,6.04,-0.017,0.0,-2.29,0.84
fold31_room1_mix0722,4,critical,対向型,52,3.5,rc,1,0,0,13.69,14.07,1.55,3.23,-0.035,0.0,-4.18,1.3
fold31_room1_mix0727,4,critical,対向型,20,3.1,rc,1,0,0,13.64,14.09,1.7,2.36,0.052,0.0,-5.69,0.84
fold31_room1_mix0727,4,critical,対向型,20,2.9,rc,1,0,0,13.64,13.95,1.7,2.36,0.052,0.0,-5.69,1.03
fold31_room1_mix0728,4,safe,すり抜け型,61,-0.5,cpa,0,1,1,0.97,11.01,0.19,0.12,1.623,0.3490658503988664,-8.02,10.86
fold31_room1_mix0732,4,safe,すり抜け型,78,-0.7,cpa,0,1,1,1.19,13.83,0.25,0.1,2.007,0.3490658503988664,-11.09,13.42
fold31_room1_mix0736,4,critical,対向型,59,1.2,cpa,1,1,0,11.82,12.08,0.65,1.05,0.052,0.08726646259971549,-11.26,1.26
fold31_room1_mix0739,4,critical,対向型,89,-0.4,cpa,0,1,0,4.26,2.1,0.33,0.15,0.524,0.6108652381980152,-28.39,0.64
fold31_room1_mix0741,4,safe,すり抜け型,56,2.5,rc,1,0,0,13.49,13.4,9.57,5.73,0.087,0.1745329251994332,-1.17,9.4
fold31_room1_mix0742,4,critical,対向型,22,3.0,rc,1,0,0,12.93,10.66,1.59,2.34,-0.052,0.0,-5.45,1.34
fold31_room1_mix0742,4,critical,対向型,22,6.3,rc,1,0,0,12.93,42.89,1.59,2.34,-0.052,0.0,-5.45,1.26
fold31_room1_mix0743,4,critical,対向型,24,2.6,rc,1,0,0,10.51,20.62,1.56,4.2,0.035,0.0,-2.45,1.27
fold31_room1_mix0749,4,critical,対向型,69,0.3,cpa,0,1,1,1.4,1.51,0.26,0.24,0.768,1.7453292519943298,-5.64,0.8
fold31_room1_mix0753,4,critical,対向型,57,2.3,cpa,0,1,0,6.1,12.31,0.74,0.53,0.227,0.0,-11.26,1.46
fold31_room1_mix0753,4,critical,対向型,57,0.5,cpa,0,1,0,6.1,4.47,0.74,0.53,0.227,0.5235987755982996,-11.26,1.4
fold31_room1_mix0754,4,critical,対向型,55,1.4,cpa,1,1,0,14.28,12.22,1.1,0.88,0.087,0.0,-16.11,0.74
fold31_room1_mix0755,4,critical,対向型,70,1.8,cpa,1,1,0,12.24,8.5,0.76,1.78,0.035,0.0,-6.84,0.99
fold31_room1_mix0756,4,critical,対向型,47,1.6,rc,1,0,0,7.57,5.8,0.0,5.87,-0.0,0.17453292519943098,-1.29,1.36
fold31_room1_mix0756,4,safe,すり抜け型,47,2.9,rc,1,0,0,7.57,11.14,0.0,5.87,-0.0,0.08726646259971632,-1.29,3.48
fold31_room1_mix0762,4,critical,対向型,51,2.0,cpa,1,1,0,14.71,12.78,1.18,1.52,0.052,0.0,-9.59,0.76
fold31_room1_mix0765,4,critical,対向型,43,1.8,cpa,1,1,0,11.36,11.51,0.52,1.3,0.035,0.0,-8.69,0.76
fold31_room1_mix0767,4,safe,すり抜け型,42,3.9,rc,1,0,0,10.41,25.71,1.39,1.89,-0.07,0.08726646259971549,-5.4,10.51
fold31_room1_mix0768,4,critical,対向型,58,1.7,cpa,1,1,0,12.04,13.61,0.29,1.36,0.017,0.0,-8.82,1.14
fold31_room1_mix0770,4,critical,対向型,73,0.7,cpa,0,1,0,3.28,2.92,1.18,0.66,0.506,0.43633231299858244,-4.32,1.09
fold31_room1_mix0774,4,critical,対向型,40,2.0,cpa,1,1,0,13.84,10.34,0.49,2.02,-0.017,0.0,-6.84,1.09
fold31_room1_mix0774,4,critical,対向型,40,3.7,cpa,1,1,0,13.84,34.04,0.49,2.02,-0.017,0.0,-6.84,0.78
fold31_room1_mix0775,4,critical,対向型,21,4.1,rc,1,0,0,9.16,8.63,2.61,3.91,0.07,0.0,-2.15,0.69
fold31_room1_mix0775,4,safe,すり抜け型,48,1.0,cpa,1,1,0,4.68,15.78,0.0,1.34,-0.0,0.523598775598299,-3.49,11.65
fold31_room1_mix0778,4,critical,対向型,54,1.9,cpa,0,1,0,16.39,16.64,0.54,1.87,0.017,0.0,-8.74,1.15
fold31_room1_mix0779,4,critical,対向型,65,2.1,rc,1,0,0,8.67,7.31,2.57,5.41,0.052,0.08726646259971549,-1.46,0.81
fold31_room1_mix0780,4,critical,対向型,64,1.9,cpa,0,1,0,15.04,16.91,0.77,1.47,0.035,0.0,-10.18,1.11
fold31_room1_mix0786,4,critical,対向型,68,0.8,cpa,1,1,0,10.38,9.03,0.66,0.9,0.07,0.08726646259971646,-11.43,0.96
fold31_room1_mix0787,4,critical,対向型,53,1.1,cpa,0,1,0,7.78,6.94,0.7,0.86,0.105,0.08726646259971549,-9.01,0.71
fold31_room1_mix0788,4,critical,対向型,37,5.2,cpa,0,1,0,10.39,42.18,1.28,1.0,0.122,0.0,-10.21,0.81
fold31_room1_mix0788,4,critical,対向型,37,3.2,cpa,0,1,0,10.39,36.2,1.28,1.0,0.122,0.0,-10.21,0.93
fold31_room1_mix0792,4,critical,対向型,57,1.9,cpa,0,1,0,18.34,15.98,0.49,1.52,-0.017,0.0,-12.03,0.9
fold31_room1_mix0799,4,critical,対向型,54,1.5,cpa,1,1,0,11.65,12.9,0.76,0.93,-0.07,0.0,-12.47,0.91
fold31_room1_mix0800,4,critical,対向型,18,4.1,rc,1,0,0,13.14,19.01,5.91,5.76,-0.07,0.0,-1.82,1.23
fold31_room1_mix0802,4,critical,対向型,89,-0.4,cpa,0,1,0,3.1,2.29,0.21,0.12,0.576,1.2217304763960306,-26.7,1.49
fold31_room1_mix0807,4,safe,すり抜け型,51,1.6,rc,1,0,0,12.09,10.68,1.55,2.43,-0.052,0.1745329251994332,-4.89,4.28
fold31_room1_mix0807,4,critical,対向型,51,1.9,rc,1,0,0,12.09,15.46,1.55,2.43,-0.052,0.0,-4.89,1.21
fold31_room1_mix0809,4,critical,対向型,59,1.2,cpa,0,1,0,15.03,13.56,0.77,0.98,-0.052,0.08726646259971549,-15.29,1.39
fold31_room1_mix0811,4,safe,すり抜け型,43,1.1,cpa,0,1,0,4.29,9.64,1.3,0.36,0.803,0.3490658503988664,-10.86,4.54
fold31_room1_mix0812,4,critical,対向型,30,1.2,cpa,1,1,0,8.24,6.51,0.67,2.33,0.035,0.17453292519943098,-3.51,1.1
fold31_room1_mix0813,4,critical,対向型,14,4.1,rc,1,0,0,12.66,13.33,1.88,4.2,0.035,0.0,-2.95,0.82
fold31_room1_mix0813,4,critical,対向型,14,5.7,rc,1,0,0,12.66,40.88,1.88,4.2,0.035,0.0,-2.95,0.75
fold31_room1_mix0815,4,critical,対向型,70,1.7,cpa,1,1,0,12.56,11.12,1.04,1.58,-0.052,0.0,-7.9,1.12
fold31_room1_mix0817,4,critical,対向型,50,2.7,cpa,1,1,0,12.07,12.17,0.47,2.23,0.017,0.0,-5.4,1.35
fold31_room1_mix0819,4,critical,対向型,79,0.8,cpa,1,1,0,8.26,7.22,0.53,0.92,0.07,0.17453292519943098,-8.95,0.82
fold31_room1_mix0821,4,critical,対向型,53,0.1,cpa,0,1,0,1.78,0.93,0.4,0.14,1.518,5.5850536063818526,-11.66,0.76
fold31_room1_mix0821,4,critical,対向型,53,3.2,cpa,0,1,0,1.78,,0.4,0.14,1.518,,-11.66,0.94
fold31_room1_mix0822,4,critical,対向型,27,1.6,rc,1,0,0,11.17,9.38,2.64,3.29,-0.07,0.08726646259971646,-3.21,1.43
fold31_room1_mix0824,4,safe,すり抜け型,69,1.0,cpa,0,1,0,5.11,12.7,1.08,1.18,0.175,0.5235987755982974,-4.14,10.55
fold31_room1_mix0824,4,critical,対向型,69,2.0,cpa,0,1,0,5.11,14.11,1.08,1.18,0.175,0.0,-4.14,0.7
fold31_room1_mix0825,4,critical,対向型,43,1.8,cpa,1,1,0,10.83,10.55,0.76,2.01,0.035,0.08726646259971549,-5.36,1.44
fold31_room1_mix0826,4,critical,対向型,50,1.0,cpa,1,1,0,13.58,10.47,0.97,0.81,0.087,0.17453292519943098,-16.63,1.48
fold31_room1_mix0827,4,critical,対向型,39,2.8,cpa,0,1,0,17.17,15.94,1.17,1.95,0.035,0.0,-8.76,1.25
fold31_room1_mix0827,4,safe,すり抜け型,61,2.7,cpa,0,1,0,4.22,,0.95,0.6,0.367,,-6.69,13.89
fold31_room1_mix0831,4,critical,対向型,29,1.7,cpa,0,1,0,17.17,16.03,1.07,1.79,0.035,0.0,-9.57,1.35
fold31_room1_mix0831,4,safe,すり抜け型,29,5.8,cpa,0,1,0,17.17,45.16,1.07,1.79,0.035,0.0,-9.57,5.25
fold31_room1_mix0835,4,critical,対向型,37,4.6,rc,1,0,0,12.97,21.34,0.0,8.65,0.0,0.0,-1.5,1.04
fold31_room1_mix0836,4,critical,対向型,40,2.2,cpa,1,1,0,13.16,11.69,1.29,1.86,0.052,0.0,-7.0,1.45
fold31_room1_mix0839,4,critical,対向型,18,2.8,cpa,1,1,0,9.32,12.01,1.11,1.35,0.087,0.0,-6.79,0.95
fold31_room1_mix0839,4,safe,すり抜け型,38,2.0,cpa,0,1,0,2.54,20.94,1.23,0.53,0.803,0.17453292519943292,-3.69,6.96
fold31_room1_mix0842,4,critical,対向型,80,0.9,cpa,1,1,0,7.15,6.84,0.19,0.77,-0.035,0.17453292519943292,-9.25,0.82
fold31_room1_mix0848,4,critical,対向型,52,0.7,cpa,0,1,0,6.11,6.19,0.62,0.83,0.122,0.17453292519943292,-7.28,1.01
fold31_room1_mix0849,4,critical,対向型,57,2.4,cpa,0,1,0,21.13,17.63,0.0,2.06,0.0,0.0,-10.25,1.03
fold31_room1_mix0850,4,critical,対向型,72,1.3,cpa,1,1,0,10.24,10.25,0.0,1.38,-0.0,0.0,-7.44,0.97
fold31_room1_mix0853,4,critical,対向型,56,0.5,cpa,0,1,0,1.67,3.7,0.48,0.18,-1.518,0.4363323129985819,-8.36,1.07
fold31_room1_mix0854,4,critical,対向型,49,2.4,cpa,0,1,0,22.95,22.29,0.0,2.3,-0.0,0.0,-9.97,1.3
fold31_room1_mix0862,4,critical,対向型,15,3.0,cpa,1,1,0,7.37,8.11,0.61,0.95,-0.087,0.0,-7.73,0.87
fold31_room1_mix0862,4,safe,すり抜け型,15,4.2,cpa,1,1,0,7.37,,0.61,0.95,-0.087,,-7.73,14.54
fold31_room1_mix0863,4,critical,対向型,46,3.9,cpa,0,1,0,21.9,39.12,1.11,0.72,-0.07,0.0,-30.17,1.23
fold31_room1_mix0867,4,safe,すり抜け型,43,3.9,rc,1,0,0,13.18,24.77,2.99,2.53,0.087,0.0,-4.94,6.89
fold31_room1_mix0868,4,critical,対向型,63,1.4,cpa,1,1,0,13.02,12.43,1.06,1.54,-0.052,0.08726646259971549,-8.38,1.03
fold31_room1_mix0869,4,critical,対向型,75,0.3,cpa,0,1,1,1.07,2.48,0.15,0.12,1.169,0.6981317007977319,-9.08,0.92
fold31_room1_mix0870,4,critical,対向型,22,1.9,rc,1,0,0,11.84,9.93,2.31,2.74,0.07,0.0,-4.15,1.31
fold31_room1_mix0871,4,critical,対向型,71,1.2,cpa,1,1,0,13.22,11.46,0.84,1.21,0.052,0.08726646259971549,-10.87,1.41
fold31_room1_mix0874,4,critical,対向型,14,2.9,rc,1,0,0,12.91,10.45,0.57,2.53,-0.017,0.0,-5.09,0.81
fold31_room1_mix0874,4,safe,すり抜け型,14,6.7,rc,1,0,0,12.91,49.74,0.57,2.53,-0.017,0.0,-5.09,5.51
fold31_room1_mix0879,4,safe,すり抜け型,31,3.2,rc,1,0,0,12.6,11.73,2.31,3.44,0.052,0.1745329251994332,-3.54,4.48
fold31_room1_mix0882,4,critical,対向型,16,2.4,cpa,1,1,0,11.9,11.44,0.67,1.61,0.035,0.0,-7.38,1.48
fold31_room1_mix0882,4,critical,対向型,16,3.6,cpa,1,1,0,11.9,22.37,0.67,1.61,0.035,0.0,-7.38,1.5
fold31_room1_mix0884,4,critical,対向型,47,3.1,rc,1,0,0,14.62,13.65,1.05,4.11,-0.017,0.0,-3.54,1.02
fold31_room1_mix0887,4,safe,すり抜け型,48,3.1,rc,1,0,0,14.65,,0.0,6.51,-0.0,,-2.25,8.89
fold31_room1_mix0888,4,critical,対向型,52,1.2,cpa,1,1,0,11.03,9.77,0.34,0.88,-0.035,0.08726646259971549,-12.52,1.16
fold31_room1_mix0893,4,safe,すり抜け型,59,2.0,cpa,0,1,0,7.44,12.0,0.92,0.78,-0.157,0.1745329251994332,-9.42,4.5
